Course Name,course_type,thumbnail_pic_link,Course Description
Urban Planning and Sustainable Cities,Urban Studies|Architecture|Sustainability,https://image.isu.pub/141022110521-3deceb94bfcfbc275feab7f216451de0/jpg/page_1.jpg,"Discover the principles and practices of creating sustainable, livable cities in this comprehensive urban planning course. Learn about land use planning, transportation systems, green infrastructure, and smart city technologies. Explore strategies for addressing urban challenges such as affordable housing, climate resilience, and social equity. Analyze case studies of successful urban interventions from around the world. This course will empower you to contribute to the development of sustainable, vibrant urban environments."
Personal Finance Management,Finance|Budgeting|Wealth Management,https://th.bing.com/th/id/OIP.MR8o2Fkof1gLjOQk3SJMLAAAAA?rs=1&pid=ImgDetMain,"Learn how to effectively manage your personal finances by budgeting, saving, and investing wisely. Understand debt management and how to plan for retirement and major life events."
Introduction to Psychology,Social Science|Psychology|Cognitive Science,https://th.bing.com/th/id/OIP.rdCjYb-RFJIRiRj-HQ8FEwHaD4?rs=1&pid=ImgDetMain,"Explore the human mind and behavior, learning about psychological concepts, research methods, mental processes, and emotions in everyday life."
Art History 101,History|Art|Culture,https://m.media-amazon.com/images/I/81Tvqbo-TvL._SL1500_.jpg,"Take a journey through time and explore the evolution of art across different cultures and periods, from ancient civilizations to contemporary works."
Health and Wellness,Health|Wellness|Lifestyle,https://th.bing.com/th/id/R.633dac5a745ebb44d849ce42530433b8?rik=SwkP9x1S3suSrQ&riu=http%3a%2f%2fknowlesti.sg%2fwp-content%2fuploads%2f2018%2f05%2fCourse-Brochure-For-Health-And-Wellness-At-The-Workplace.jpg&ehk=dmrD%2bSqD9GPGFRyqa30S%2fz16cbs9eiBZot4emvq7Oz0%3d&risl=&pid=ImgRaw&r=0,"Understand the fundamentals of healthy living, including nutrition, physical activity, and mental well-being. Learn techniques for managing stress and building a balanced life."
Public Speaking Essentials,Communication|Leadership|Public Speaking,https://m.media-amazon.com/images/I/81SudaIRLvL._SL1500_.jpg,"Develop confidence and skills in public speaking by learning effective communication techniques, presentation skills, and audience engagement strategies."
Introduction to Music Theory,Music|Theory|Creative Arts,https://th.bing.com/th/id/OIP.TZ5VbIJmkaR9lJYY2TO_AgHaHa?rs=1&pid=ImgDetMain,"Learn the basic concepts of music theory, including scales, chords, harmony, and notation, and apply them to various genres and instruments."
Creative Writing Workshop,Writing|Storytelling|Creative Arts,https://d1uvxqwmcz8fl1.cloudfront.net/tes/resources/12878305/d3845c83-5b82-4b3a-a227-e9f064a8a0d2/image?width=500&height=500&version=1689171160773,"Hone your creative writing skills by exploring storytelling techniques, character development, and crafting compelling narratives across genres."
Mindfulness and Meditation,Mental Health|Wellness|Meditation,https://th.bing.com/th/id/OIP.I79j4SlZWAgUgQ89echmjgHaEc?rs=1&pid=ImgDetMain,"Explore the practice of mindfulness and meditation to enhance mental clarity, emotional well-being, and stress management."
Sociology of Everyday Life,Social Science|Sociology|Culture,https://covers.vitalbook.com/vbid/9781478632887/width/200,"Study how societal structures, institutions, and social behavior shape the experiences of individuals and groups in everyday contexts."
Introduction to Philosophy,Philosophy|Ethics|Critical Thinking,https://th.bing.com/th/id/OIP.PWtogrUgCVH23VnRfEb3OQHaFj?rs=1&pid=ImgDetMain,"Examine fundamental philosophical questions about existence, knowledge, ethics, and the human condition, and engage in critical thinking and analysis."
